time,completions,q_len,lat_p50,lat_p95,lat_p99,rho_tau_est,idle_budget,dream_cpu_secs,dream_events,action,reward
60.0,35,0,0.3936584170305346,0.8499902944563855,0.8873880579905721,0.46298566211748515,0.10760785514464866,3.8714229230736255,37,0,-0.010760785514464867
61.0,35,0,0.3936584170305346,0.8499902944563855,0.8873880579905721,0.46646012513165386,0.10876597760360501,3.9805507355584973,38,0,-0.010876597760360502
62.0,35,0,0.3936584170305346,0.8499902944563855,0.8873880579905721,0.46397801554333545,0.10617015013613003,4.085061266640654,39,0,-0.010617015013613004
63.0,35,1,0.3936584170305346,0.8499902944563855,0.8873880579905721,0.45927966948291843,0.10886284909270567,4.085061266640654,39,0,-0.010886284909270568
64.0,36,1,0.3764159809159781,0.8494710235700244,0.8869315735795854,0.47210351357743313,0.10508751726237749,4.085061266640654,39,0,-0.010508751726237749
65.0,37,0,0.3936584170305346,0.8489517526836632,0.8864750891685986,0.4642380900192308,0.10970072326360891,4.189143776060559,40,0,-0.010970072326360892
66.0,37,0,0.3936584170305346,0.8489517526836632,0.8864750891685986,0.45464192570935735,0.10837654147071013,4.297291676684477,41,0,-0.010837654147071014
67.0,38,0,0.3764159809159781,0.848432481797302,0.8860186047576118,0.4539326487870078,0.10852998331512642,4.404259545587084,42,0,-0.010852998331512643
68.0,38,0,0.3764159809159781,0.848432481797302,0.8860186047576118,0.47401751598602354,0.10791685188414289,4.513709955954129,43,0,-0.01079168518841429
69.0,38,0,0.3764159809159781,0.848432481797302,0.8860186047576118,0.4707556714115539,0.10585605801417422,4.621054211378057,44,0,-0.010585605801417423
70.0,40,1,0.3764159809159781,0.8473939400245796,0.8851056359356382,0.4722816479479656,0.1080666549550279,4.621054211378057,44,0,-0.010806665495502792
71.0,41,1,0.3936584170305346,0.8572600868654423,0.9348545257423443,0.47481910720117143,0.10387676385930972,4.621054211378057,44,0,-0.010387676385930973
72.0,41,1,0.3936584170305346,0.8572600868654423,0.9348545257423443,0.4657157557694755,0.10763305690742331,4.621054211378057,44,0,-0.010763305690742332
73.0,43,0,0.3712902373835987,0.8562215450927199,0.9337896591497368,0.4604237801553436,0.10589435525476426,4.728339099166735,45,0,-0.010589435525476427
74.0,43,0,0.3712902373835987,0.8562215450927199,0.9337896591497368,0.4644991597127464,0.1081184619769108,4.832508695014205,46,0,-0.01081184619769108
75.0,43,1,0.3712902373835987,0.8562215450927199,0.9337896591497368,0.46364416165361944,0.10702103024550765,4.832508695014205,46,0,-0.010702103024550765
76.0,44,2,0.38247432720706664,0.8557022742063587,0.9332572258534333,0.47611565848874493,0.1063466012372601,4.832508695014205,46,0,-0.010634660123726011
77.0,46,1,0.36523189109251014,0.8546637324336364,0.9321923592608258,0.4637048539667482,0.10530082781509256,4.832508695014205,46,0,-0.010530082781509256
78.0,47,0,0.3712902373835987,0.8570256910462826,0.9316599259645222,0.46200962631582104,0.10589281032298725,4.939550458651619,47,0,-0.010589281032298725
79.0,48,0,0.36523189109251014,0.8569866250764226,0.9311274926682186,0.461752143261206,0.10629945205273611,5.046704141716487,48,0,-0.010629945205273612
80.0,50,0,0.38247432720706664,0.8569084931367027,0.9300626260756111,0.458347525649217,0.1083327193604927,5.048677758603549,49,0,-0.010833271936049271
81.0,50,0,0.38247432720706664,0.8569084931367027,0.9300626260756111,0.459978968218967,0.10615749284534395,5.1562967442182375,50,0,-0.010615749284534397
82.0,51,0,0.3760648894005704,0.8568694271668428,0.9295301927793076,0.46292240275581165,0.10665130577720922,5.266895364701701,51,0,-0.010665130577720922
83.0,52,0,0.38486165321555255,0.8568303611969829,0.928997759483004,0.4646501645268073,0.1047084192080674,5.374872819288763,52,0,-0.01047084192080674
84.0,52,0,0.38486165321555255,0.8568303611969829,0.928997759483004,0.45489847781663895,0.10697240797482199,5.485694896287771,53,0,-0.0106972407974822
85.0,52,0,0.38486165321555255,0.8568303611969829,0.928997759483004,0.47060005902342616,0.10793104735426325,5.5904931316866655,54,0,-0.010793104735426325
86.0,53,0,0.3936584170305346,0.8567912952271228,0.9284653261867001,0.45223769754164356,0.10841714270220976,5.69678108266878,55,0,-0.010841714270220976
87.0,53,1,0.3936584170305346,0.8567912952271228,0.9284653261867001,0.46469268909115385,0.10372265745589633,5.69678108266878,55,0,-0.010372265745589634
88.0,54,0,0.39598247735385345,0.8567522292572629,0.9279328928903965,0.45716939160262693,0.10631227693980848,5.802694189482129,56,0,-0.010631227693980849
89.0,55,0,0.3983065376771723,0.856713163287403,0.9274004595940929,0.45623937857041436,0.10664485537623797,5.90842022961619,57,0,-0.010664485537623798
90.0,55,0,0.3983065376771723,0.856713163287403,0.9274004595940929,0.4588018393860649,0.10313531034227075,6.0139251118582155,58,0,-0.010313531034227075
91.0,55,0,0.3983065376771723,0.856713163287403,0.9274004595940929,0.4662204027482676,0.10817306580744922,6.120247296538127,59,0,-0.010817306580744923
92.0,56,0,0.4009792779612935,0.8686721971401128,0.9416140591265948,0.45581520200557446,0.10694521692217439,6.190527799794356,60,0,-0.01069452169221744
